user_id,event_count,success_rate,download,login,logout,upload,active_days
user_1,12,0.75,3,1,3,5,5
user_10,9,0.7777777777777778,1,4,1,3,6
user_11,9,0.6666666666666666,1,4,2,2,5
user_12,6,0.8333333333333334,2,1,1,2,4
user_13,9,0.8888888888888888,1,4,3,1,5
user_14,10,0.8,1,4,1,4,6
user_15,8,0.875,0,3,4,1,4
user_16,10,0.7,5,4,1,0,6
user_17,10,0.4,1,2,5,2,4
user_18,3,0.6666666666666666,1,0,1,1,3
user_19,15,0.4666666666666667,5,3,2,5,6
user_2,7,0.8571428571428571,0,2,2,3,4
user_20,14,0.6428571428571429,5,5,3,1,6
user_21,13,0.8461538461538461,4,3,1,5,6
user_22,10,0.8,2,3,1,4,6
user_23,6,0.8333333333333334,1,2,2,1,5
user_24,6,0.6666666666666666,0,1,2,3,5
user_25,6,0.5,1,3,1,1,5
user_26,9,0.7777777777777778,4,1,3,1,4
user_27,13,0.6153846153846154,4,3,5,1,5
user_28,4,0.75,1,1,1,1,3
user_29,10,0.7,5,2,2,1,4
user_3,6,0.6666666666666666,2,2,0,2,5
user_30,12,0.8333333333333334,6,2,0,4,6
user_31,10,0.8,1,2,4,3,5
user_32,15,0.5333333333333333,4,4,2,5,6
user_33,12,1.0,4,3,1,4,7
user_34,9,0.5555555555555556,2,3,4,0,5
user_35,14,0.8571428571428571,4,1,2,7,5
user_36,15,0.7333333333333333,4,2,2,7,6
user_37,13,0.6923076923076923,3,4,1,5,6
user_38,13,0.8461538461538461,5,1,4,3,6
user_39,11,0.9090909090909091,2,3,2,4,5
user_4,8,0.875,1,1,4,2,5
user_40,5,0.8,2,2,1,0,4
user_41,4,0.5,1,2,1,0,4
user_42,9,0.8888888888888888,0,2,3,4,6
user_43,7,1.0,5,1,0,1,5
user_44,12,0.75,4,3,3,2,5
user_45,10,0.7,3,1,4,2,5
user_46,7,0.8571428571428571,0,4,1,2,5
user_47,14,0.9285714285714286,3,3,6,2,7
user_48,17,0.7058823529411765,3,3,6,5,7
user_49,12,0.75,2,4,1,5,5
user_5,9,0.7777777777777778,1,5,2,1,4
user_50,15,0.6666666666666666,5,2,6,2,7
user_6,12,0.75,1,3,3,5,7
user_7,10,0.9,4,3,2,1,6
user_8,11,0.7272727272727273,4,4,2,1,8
user_9,9,0.8888888888888888,1,2,4,2,6
